gamma_sla,gamma_sf,status,objective,obj_val,objective_formula,cost,monetary_cost,compute_cost,bandwidth_cost,exp_deliver,omega_deliver,obj_reconstruction_error,cvar_sla,cvar_sf,model_cvar_sla,model_cvar_sf,posthoc_cvar_sla,posthoc_cvar_sf,posthoc_mean_sla_loss,posthoc_mean_sf_loss,zeta_sla,zeta_sf,is_pareto_nondominated,dominated_by,elapsed_sec,routing_mode,link_price_mode,eta,scenario_s1_link_sigma,num_tasks,min_off_hub,s2_derate,umcf_access_sigma,virtual_edge_count,virtual_edge_price_policy,virtual_edge_sigma_policy,posthoc_warning,error
0.8,0.03,OPTIMAL,-3075.9924220235735,-3075.9924220235735,monetary_cost - omega_deliver * expected_delivery,1967.5885330362569,1967.5885330362569,160.96,1806.6285330362568,5043.580955059834,1.0,3.637978807091713e-12,0.8,0.03,0.8,0.03,0.8,0.020938023450586263,0.8,0.0020938023450586263,0.8,0.03,True,,0.15445050003472716,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.8,0.035,OPTIMAL,-3075.9924220235735,-3075.9924220235735,monetary_cost - omega_deliver * expected_delivery,1967.5885330362569,1967.5885330362569,160.96,1806.6285330362568,5043.580955059834,1.0,3.637978807091713e-12,0.8,0.035,0.8,0.035,0.8,0.020938023450586263,0.8,0.0020938023450586263,0.8,0.035,True,,0.21085989999119192,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.8,0.0377,OPTIMAL,-3242.501175979412,-3242.501175979412,monetary_cost - omega_deliver * expected_delivery,1883.0236135005632,1883.0236135005632,149.56000000000003,1733.4636135005633,5125.524789479978,1.0,2.2737367544323206e-12,0.8,0.0377,0.8,0.0377,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.0377,True,,0.1574059000122361,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.8,0.04,OPTIMAL,-3242.501175979412,-3242.501175979412,monetary_cost - omega_deliver * expected_delivery,1883.0236135005632,1883.0236135005632,149.56000000000003,1733.4636135005633,5125.524789479978,1.0,2.2737367544323206e-12,0.8,0.04,0.8,0.04,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.04,True,,0.15815760003169999,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.8,0.045,OPTIMAL,-3242.501175979412,-3242.501175979412,monetary_cost - omega_deliver * expected_delivery,1883.0236135005632,1883.0236135005632,149.56000000000003,1733.4636135005633,5125.524789479978,1.0,2.2737367544323206e-12,0.8,0.045,0.8,0.045,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.045,True,,0.15614229999482632,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.03,OPTIMAL,-3568.129307924182,-3568.129307924182,monetary_cost - omega_deliver * expected_delivery,1064.2742665181281,1064.2742665181281,160.96,903.3142665181282,4632.403574442313,1.0,2.7284841053187847e-12,0.9,0.03,0.9,0.03,0.9000000000000001,0.020938023450586263,0.9000000000000001,0.0020938023450586263,0.9,0.03,True,,0.13750110002001747,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.035,OPTIMAL,-3568.129307924182,-3568.129307924182,monetary_cost - omega_deliver * expected_delivery,1064.2742665181281,1064.2742665181281,160.96,903.3142665181282,4632.403574442313,1.0,2.7284841053187847e-12,0.9,0.035,0.9,0.035,0.9000000000000001,0.020938023450586263,0.9000000000000001,0.0020938023450586263,0.9,0.035,True,,0.1599559000460431,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.0377,OPTIMAL,-3708.298581414692,-3708.298581414692,monetary_cost - omega_deliver * expected_delivery,1016.2918067502815,1016.2918067502815,149.56000000000003,866.7318067502814,4724.590388164975,1.0,1.3642420526593924e-12,0.9,0.0377,0.9,0.0377,0.9000000000000001,0.03768844221105527,0.9000000000000001,0.0037688442211055275,0.9,0.0377,True,,0.15073039999697357,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.04,OPTIMAL,-3708.298581414692,-3708.298581414692,monetary_cost - omega_deliver * expected_delivery,1016.2918067502815,1016.2918067502815,149.56000000000003,866.7318067502814,4724.590388164975,1.0,1.3642420526593924e-12,0.9,0.04,0.9,0.04,0.9000000000000001,0.03768844221105527,0.9000000000000001,0.0037688442211055275,0.9,0.04,True,,0.16743059997679666,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.045,OPTIMAL,-3708.298581414692,-3708.298581414692,monetary_cost - omega_deliver * expected_delivery,1016.2918067502815,1016.2918067502815,149.56000000000003,866.7318067502814,4724.590388164975,1.0,1.3642420526593924e-12,0.9,0.045,0.9,0.045,0.9000000000000001,0.03768844221105527,0.9000000000000001,0.0037688442211055275,0.9,0.045,True,,0.14967320003779605,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.03,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.0,0.03,1.0,0.03,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.03,True,,0.15253419999498874,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.035,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.0,0.035,1.0,0.035,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.035,True,,0.1384204999776557,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.0377,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.0377,1.0,0.0377,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.0377,True,,0.14574680000077933,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.04,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.04,1.0,0.04,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.04,True,,0.13769099995261058,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.045,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.045,1.0,0.045,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.045,True,,0.1550095999846235,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.03,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.1,0.03,1.1,0.03,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.1,0.03,True,,0.17224480002187192,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.035,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.1,0.035,1.1,0.035,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.1,0.035,True,,0.18482740002218634,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.0377,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.1,0.0377,1.1,0.0377,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.1,0.0377,True,,0.2599505999824032,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.04,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.1,0.04,1.1,0.04,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.1,0.04,True,,0.15717639995273203,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.045,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.1,0.045,1.1,0.045,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.1,0.045,True,,0.17106389999389648,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.2,0.03,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.2,0.03,1.2,0.03,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.2,0.03,True,,0.1350467000156641,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.2,0.035,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.2,0.035,1.2,0.035,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.2,0.035,True,,0.16260979999788105,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.2,0.0377,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.2,0.0377,1.2,0.0377,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.2,0.0377,True,,0.13671230000909418,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.2,0.04,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.2,0.04,1.2,0.04,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.2,0.04,True,,0.15192250005202368,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.2,0.045,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.2,0.045,1.2,0.045,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.2,0.045,True,,0.14366549998521805,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
