gamma_sla,gamma_sf,status,objective,obj_val,objective_formula,cost,monetary_cost,compute_cost,bandwidth_cost,exp_deliver,omega_deliver,obj_reconstruction_error,cvar_sla,cvar_sf,model_cvar_sla,model_cvar_sf,posthoc_cvar_sla,posthoc_cvar_sf,posthoc_mean_sla_loss,posthoc_mean_sf_loss,zeta_sla,zeta_sf,is_pareto_nondominated,dominated_by,elapsed_sec,routing_mode,link_price_mode,eta,scenario_s1_link_sigma,num_tasks,min_off_hub,s2_derate,umcf_access_sigma,virtual_edge_count,virtual_edge_price_policy,virtual_edge_sigma_policy,sf_ref_mode,sf_D_ref_CPU,sf_D_ref_GPU,sf_D_ref_HBM,posthoc_warning,error
0.8,0.08199999999999989,OPTIMAL,-3075.9924220235735,-3075.9924220235735,monetary_cost - omega_deliver * expected_delivery,1967.5885330362569,1967.5885330362569,160.96,1806.6285330362568,5043.580955059834,1.0,3.637978807091713e-12,0.8,0.08199999999999989,0.8,0.08199999999999989,0.8,0.020938023450586263,0.8,0.0020938023450586263,0.8,0.08199999999999989,True,,0.1344218000303954,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
0.8,0.09999999999999987,OPTIMAL,-3242.501175979412,-3242.501175979412,monetary_cost - omega_deliver * expected_delivery,1883.0236135005632,1883.0236135005632,149.56000000000003,1733.4636135005633,5125.524789479978,1.0,2.2737367544323206e-12,0.8,0.1,0.8,0.1,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.1,True,,0.13188000000081956,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
0.8,0.11799999999999984,OPTIMAL,-3242.501175979412,-3242.501175979412,monetary_cost - omega_deliver * expected_delivery,1883.0236135005632,1883.0236135005632,149.56000000000003,1733.4636135005633,5125.524789479978,1.0,2.2737367544323206e-12,0.8,0.11799999999999984,0.8,0.11799999999999984,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.11799999999999984,True,,0.12746699998388067,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
0.8,0.14499999999999982,OPTIMAL,-3242.501175979412,-3242.501175979412,monetary_cost - omega_deliver * expected_delivery,1883.0236135005632,1883.0236135005632,149.56000000000003,1733.4636135005633,5125.524789479978,1.0,2.2737367544323206e-12,0.8,0.14499999999999982,0.8,0.14499999999999982,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.14499999999999982,True,,0.15707700001075864,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
0.8,0.18999999999999975,OPTIMAL,-3242.501175979412,-3242.501175979412,monetary_cost - omega_deliver * expected_delivery,1883.0236135005632,1883.0236135005632,149.56000000000003,1733.4636135005633,5125.524789479978,1.0,2.2737367544323206e-12,0.8,0.18999999999999975,0.8,0.18999999999999975,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.18999999999999975,True,,0.1428885999484919,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.0,0.08199999999999989,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.0,0.08199999999999989,1.0,0.08199999999999989,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.08199999999999989,True,,0.14170870004454628,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.0,0.09999999999999987,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.1,1.0,0.1,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.1,True,,0.12834699999075383,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.0,0.11799999999999984,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.11799999999999984,1.0,0.11799999999999984,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.11799999999999984,True,,0.12141600000904873,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.0,0.14499999999999982,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.14499999999999982,1.0,0.14499999999999982,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.14499999999999982,True,,0.13426159997470677,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.0,0.18999999999999975,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.18999999999999975,1.0,0.18999999999999975,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.18999999999999975,True,,0.11915839998982847,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.2,0.08199999999999989,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.2,0.08199999999999989,1.2,0.08199999999999989,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.2,0.08199999999999989,True,,0.12048199999844655,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.2,0.09999999999999987,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.2,0.1,1.2,0.1,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.2,0.1,True,,0.12697949999710545,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.2,0.11799999999999984,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.2,0.11799999999999984,1.2,0.11799999999999984,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.2,0.11799999999999984,True,,0.13864710001507774,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.2,0.14499999999999982,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.2,0.14499999999999982,1.2,0.14499999999999982,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.2,0.14499999999999982,True,,0.14061030000448227,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.2,0.18999999999999975,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.2,0.18999999999999975,1.2,0.18999999999999975,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.2,0.18999999999999975,True,,0.15020780003396794,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.5,0.08199999999999989,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.5,0.08199999999999989,1.5,0.08199999999999989,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.5,0.08199999999999989,True,,0.21557679999386892,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.5,0.09999999999999987,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.5,0.1,1.5,0.1,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.5,0.1,True,,0.1678113999660127,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.5,0.11799999999999984,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.5,0.11799999999999984,1.5,0.11799999999999984,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.5,0.11799999999999984,True,,0.16716760001145303,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.5,0.14499999999999982,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.5,0.14499999999999982,1.5,0.14499999999999982,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.5,0.14499999999999982,True,,0.140618400007952,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
1.5,0.18999999999999975,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.5,0.18999999999999975,1.5,0.18999999999999975,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.5,0.18999999999999975,True,,0.1348423999734223,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
2.0,0.08199999999999989,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,2.0,0.08199999999999989,2.0,0.08199999999999989,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,2.0,0.08199999999999989,True,,0.18309210002189502,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
2.0,0.09999999999999987,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,2.0,0.1,2.0,0.1,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,2.0,0.1,True,,0.1363670999999158,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
2.0,0.11799999999999984,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,2.0,0.11799999999999984,2.0,0.11799999999999984,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,2.0,0.11799999999999984,True,,0.12219369999365881,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
2.0,0.14499999999999982,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,2.0,0.14499999999999982,2.0,0.14499999999999982,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,2.0,0.14499999999999982,True,,0.1459313000086695,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
2.0,0.18999999999999975,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,2.0,0.18999999999999975,2.0,0.18999999999999975,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,2.0,0.18999999999999975,True,,0.13944990001618862,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,per_resource,40.0,9.5,100.0,,
